Wavelength nm,Reflectance
200,.85
250,.886
300,.867
350,.862
400,.852
450,.851
500,.853
550,.856
600,.856
650,.853
700,.847
750,.837
800,.821
850,.824
900,.862
1000,.92
1100,.94
1200,.952
1300,.958
1500,.96
1750,.963
2000,.963
2250,.967
2500,.968
