Wavelength (nm),Reflectance (%
547,0.905397018
548,0.904557137
549,0.906628875
550,0.905643559
551,0.904105056
552,0.906552892
553,0.904007984
554,0.903041457
555,0.907130838
556,0.902392924
557,0.902669048
558,0.90316802
559,0.905208151
560,0.904359475
561,0.900936248
562,0.903269658
563,0.894696183
564,0.895822723
565,0.894574312
566,0.897261393
567,0.896887624
568,0.896072343
569,0.89521663
570,0.896749821
571,0.892224942
572,0.896382711
573,0.89627428
574,0.896713752
575,0.897203811
576,0.896758906
577,0.896480127
578,0.898467183
579,0.89807585
580,0.897274656
581,0.895008807
582,0.89664738
583,0.897092246
584,0.897094422
585,0.896387375
586,0.902549144
587,0.897381939
588,0.897711329
589,0.898887772
590,0.896764994
591,0.90080336
592,0.89537679
593,0.899846701
594,0.898472811
595,0.901137066
596,0.89987658
597,0.901704759
598,0.90091398
599,0.902172276
600,0.899926219
601,0.903023277
602,0.903254782
603,0.902106558
604,0.903057525
605,0.90230948
606,0.902148921
607,0.902304862
608,0.898380669
609,0.903397672
610,0.90291938
611,0.903994613
612,0.906494938
613,0.90372817
614,0.905607718
615,0.906213699
616,0.904573544
617,0.906968478
618,0.905924746
619,0.906930716
620,0.905876716
621,0.908496979
622,0.908775521
623,0.908674392
624,0.912185944
625,0.906779837
626,0.908814076
627,0.911332885
628,0.906967815
629,0.910689818
630,0.908699743
631,0.912931097
632,0.910243581
633,0.913736818
634,0.913184485
635,0.910119719
636,0.915511642
637,0.91267543
638,0.914988785
639,0.914237138
640,0.913757958
641,0.916029603
642,0.914942998
643,0.917200534
644,0.917186768
645,0.914182985
646,0.917426733
647,0.918047815
648,0.919631205
649,0.919610446
650,0.915832856
651,0.920003128
652,0.924695211
653,0.919209729
654,0.918078332
655,0.918922364
656,0.920412653
657,0.917313315
658,0.921011843
659,0.914890684
660,0.923825153
661,0.9219434
662,0.920164604
663,0.921538443
664,0.922316309
665,0.921154349
666,0.924841135
667,0.919704742
668,0.923650657
669,0.922412018
670,0.919570276
671,0.924216118
672,0.92190906
673,0.924442607
674,0.92303088
675,0.922027067
676,0.92153598
677,0.922990155
678,0.927430166
679,0.924842834
680,0.923745852
681,0.927425598
682,0.925386322
683,0.926056679
684,0.925780919
685,0.927084126
686,0.925967499
687,0.926722505
688,0.926885397
689,0.925508185
690,0.925946649
691,0.925130924
692,0.928495653
693,0.92827482
694,0.92879594
695,0.929199574
696,0.929398831
697,0.92776042
698,0.929206645
699,0.930396032
700,0.92839386
701,0.932448308
702,0.928887637
703,0.927275797
704,0.928209538
705,0.930998347
706,0.927732549
707,0.931467272
708,0.930971752
709,0.92961396
710,0.92904795
711,0.925797185
712,0.931350643
713,0.926601088
714,0.929193577
715,0.927748249
716,0.930131783
717,0.929003126
718,0.929489406
719,0.930607004
720,0.923567061
721,0.928863067
722,0.930512383
723,0.92892732
724,0.930918277
725,0.929175113
726,0.928333737
727,0.927917876
728,0.928293764
729,0.931879129
730,0.926321643
731,0.928763522
732,0.928300379
733,0.932270533
734,0.92936503
735,0.93106004
736,0.928400929
737,0.927388003
738,0.924637543
739,0.926222745
740,0.928311417
741,0.926368897
742,0.926244397
743,0.92719035
744,0.927026288
745,0.929932799
746,0.92802245
747,0.922673618
748,0.92436323
749,0.926007481
750,0.922102253
751,0.924881651
752,0.924121929
753,0.923628515
754,0.924331169
755,0.92459301
756,0.92302749
757,0.921198069
758,0.921779086
759,0.921515722
760,0.924862271
761,0.926867232
762,0.921842885
763,0.922927109
764,0.923586991
765,0.922951193
766,0.92238537
767,0.923534697
768,0.919581564
769,0.921385078
770,0.918831136
771,0.919035625
772,0.923245126
773,0.923525719
774,0.920711228
775,0.920107991
776,0.922370465
777,0.920174471
778,0.923160035
779,0.920475274
780,0.921976165
781,0.916625687
782,0.923345927
783,0.918581519
784,0.917689636
785,0.918451387
786,0.918020953
787,0.921138973
788,0.91771558
789,0.917964033
790,0.919326015
791,0.916196125
792,0.913330916
793,0.920063302
794,0.918907939
795,0.919011173
796,0.915764343
797,0.917457284
798,0.917564641
799,0.920213045
800,0.917488514
801,0.916852321
802,0.92194368
803,0.918220681
804,0.920779071
805,0.919411989
806,0.921629173
807,0.920432056
808,0.92017936
809,0.919587214
810,0.916532967
811,0.919338591
812,0.918054417
813,0.921983932
814,0.918385629
815,0.922699165
816,0.918629082
817,0.921004292
818,0.924724341
819,0.921018586
820,0.918957855
821,0.919378057
822,0.91883155
823,0.919630382
824,0.920206766
825,0.916946413
826,0.921757059
827,0.925643747
828,0.922579615
829,0.922872104
830,0.927245027
831,0.920998242
832,0.922970435
833,0.919920284
834,0.920787948
835,0.92677603
836,0.930656479
837,0.92049951
838,0.926472994
839,0.924166346
840,0.920430554
841,0.925518696
842,0.923860832
843,0.924483944
844,0.931053582
845,0.928279602
846,0.924908062
847,0.927902326
848,0.92620873
849,0.930810174
850,0.923847896
851,0.93006892
852,0.92572869
853,0.929311999
854,0.924151926
855,0.923944137
856,0.922192843
857,0.924359026
858,0.929223584
859,0.924929927
860,0.928853482
861,0.908069193
862,0.90291242
863,0.900209522
864,0.902673237
865,0.902641983
866,0.901663521
867,0.901713904
868,0.901297911
869,0.901528355
870,0.900738321
871,0.898110802
872,0.90095286
873,0.902004698
874,0.903386163
875,0.899194486
876,0.898717207
877,0.899993476
878,0.89361885
879,0.898181176
880,0.900519192
881,0.898563722
882,0.900864835
883,0.896831274
884,0.898695015
885,0.897593727
886,0.904633433
887,0.903785722
888,0.905504442
889,0.907247194
890,0.906142662
891,0.901198015
892,0.90453075
893,0.89921863
894,0.90442035
895,0.908240634
896,0.91113313
897,0.906740913
898,0.911919523
899,0.908350914
900,0.908421632
901,0.909086224
902,0.908144817
903,0.911910244
904,0.910212157
905,0.907790175
906,0.909558529
907,0.909118422
908,0.908984766
909,0.909757278
910,0.908589914
911,0.91575706
912,0.908794159
913,0.911450942
914,0.904699253
915,0.91185787
916,0.912661892
917,0.910759731
918,0.917049308
919,0.916169511
920,0.913779384
921,0.916754044
922,0.913620486
923,0.917687349
924,0.922116562
925,0.915707934
926,0.917489745
927,0.917777692
928,0.915438627
929,0.920157275
930,0.917768474
931,0.92269396
932,0.924831293
933,0.92204551
934,0.925151777
935,0.925573115
936,0.921807207
937,0.920516462
938,0.922487842
939,0.918483754
940,0.928720645
941,0.922602805
942,0.929176346
943,0.925789686
944,0.931035951
945,0.930048636
946,0.927932294
947,0.93138685
948,0.926137171
949,0.93180183
950,0.934261649
951,0.930864201
952,0.932551443
953,0.930530782
954,0.936412257
955,0.935070292
956,0.928702962
957,0.931883764
958,0.931551008
959,0.924686755
960,0.929396406
961,0.930400245
962,0.937027912
963,0.931625643
964,0.927759434
965,0.929829543
966,0.931229686
967,0.929853872
968,0.934157929
969,0.930116526
970,0.937251864
971,0.934279032
972,0.934385105
973,0.934307238
974,0.932996314
975,0.93303769
976,0.92966534
977,0.93470099
978,0.93423383
979,0.935330491
980,0.938591881
981,0.93384443
982,0.936769252
983,0.935204605
984,0.93679886
985,0.938412681
986,0.930977222
987,0.934246009
988,0.936197988
989,0.931413324
990,0.933645863
991,0.937399139
992,0.932674672
993,0.936000851
994,0.931495111
995,0.932841038
996,0.936756747
997,0.936013573
998,0.934874655
999,0.933577115
1000,0.93961661
1001,0.936790278
1002,0.934754301
1003,0.932706663
1004,0.942043783
1005,0.933373796
1006,0.93400335
1007,0.932425307
1008,0.93561988
1009,0.939322641
1010,0.938736721
1011,0.940155646
1012,0.940467014
1013,0.935674307
1014,0.934158608
1015,0.93880136
1016,0.93982424
1017,0.939457174
1018,0.935233004
1019,0.939663645
1020,0.941696714
1021,0.93800031
1022,0.938825482
1023,0.939483407
1024,0.937668727
1025,0.935756129
1026,0.935275257
1027,0.94090269
1028,0.941710206
1029,0.934706689
1030,0.93819808
1031,0.945156129
1032,0.944753097
1033,0.939597797
1034,0.942497096
1035,0.93501487
1036,0.939181991
1037,0.941448357
1038,0.937208004
1039,0.939374917
1040,0.943843759
1041,0.942859291
1042,0.938345941
1043,0.939724201
1044,0.936266187
1045,0.939106285
1046,0.943515237
1047,0.937432542
1048,0.942394638
1049,0.94365971
1050,0.93821847
1051,0.940290187
1052,0.943428244
1053,0.939556072
1054,0.943282095
1055,0.94077724
1056,0.942537676
1057,0.936673294
1058,0.936397335
1059,0.939559197
1060,0.944890095
1061,0.943533473
1062,0.937851227
1063,0.935531986
1064,0.939008464
1065,0.943373138
1066,0.949075757
1067,0.937188727
1068,0.947058771
1069,0.943788297
1070,0.940081419
1071,0.936945863
1072,0.942910946
1073,0.943121741
1074,0.941324894
1075,0.937142131
1076,0.937210196
1077,0.938179459
1078,0.942465087
1079,0.942386695
1080,0.945028273
1081,0.946513431
1082,0.945148544
1083,0.944634192
1084,0.939517776
1085,0.942234265
1086,0.941152677
1087,0.939843696
1088,0.941736521
1089,0.942286721
1090,0.941176741
1091,0.941710679
1092,0.939001034
1093,0.942066776
1094,0.939894983
1095,0.942217367
1096,0.939415827
1097,0.943764657
1098,0.938408874
1099,0.94090856
1100,0.942765509
1101,0.937221664
1102,0.941835294
1103,0.943362184
1104,0.942657344
1105,0.945563688
1106,0.941104937
1107,0.939740232
1108,0.941218667
1109,0.939792908
1110,0.939369084
1111,0.94148569
1112,0.940125642
1113,0.940179412
1114,0.938996752
1115,0.939453375
1116,0.944513512
1117,0.936236431
1118,0.942486123
1119,0.937442773
1120,0.942906526
1121,0.934052774
1122,0.940168555
1123,0.941752855
1124,0.943026587
1125,0.937735977
1126,0.938218017
1127,0.937764105
1128,0.941733058
1129,0.939719304
1130,0.940886691
1131,0.942072515
1132,0.941774672
1133,0.937818886
1134,0.935932517
1135,0.937622579
1136,0.946656887
1137,0.940842566
1138,0.939535238
1139,0.933751585
1140,0.94376256
1141,0.938715604
1142,0.941234683
1143,0.941104064
1144,0.938285382
1145,0.93623839
1146,0.941384168
1147,0.939078919
1148,0.938309524
1149,0.942699888
1150,0.938127156
1151,0.937850208
1152,0.939403674
1153,0.936922736
1154,0.937909399
1155,0.940133108
1156,0.93618043
1157,0.940832596
1158,0.932879686
1159,0.936283101
1160,0.935910439
1161,0.935441724
1162,0.936442867
1163,0.944662295
1164,0.939757039
1165,0.937255675
1166,0.940382839
1167,0.934777537
1168,0.934964566
1169,0.933339595
1170,0.935422167
1171,0.935108156
1172,0.937281034
1173,0.938273283
1174,0.935701821
1175,0.935700008
1176,0.933435199
1177,0.936233618
1178,0.935369624
1179,0.936158975
1180,0.938545733
1181,0.935666436
1182,0.936129682
1183,0.940091698
1184,0.937228966
1185,0.937409457
1186,0.936968471
1187,0.933216554
1188,0.935681148
1189,0.93855317
1190,0.936183477
1191,0.93594582
1192,0.935114048
1193,0.937337939
1194,0.936735171
1195,0.938223384
1196,0.938682263
1197,0.935074685
1198,0.933089949
1199,0.935362125
1200,0.934755746
1201,0.92936407
1202,0.932998186
1203,0.939225511
1204,0.937687978
1205,0.932911058
1206,0.935899662
1207,0.932243631
1208,0.935613194
1209,0.938196549
1210,0.936554518
1211,0.937081631
1212,0.935062111
1213,0.935821077
1214,0.939123335
1215,0.937041011
1216,0.934694201
1217,0.936739519
1218,0.933332573
1219,0.937602794
1220,0.936153151
1221,0.936185803
1222,0.92890599
1223,0.934342909
1224,0.934095937
1225,0.93599946
1226,0.936144254
1227,0.932833424
1228,0.928250113
1229,0.935989902
1230,0.933399433
1231,0.934629278
1232,0.930351875
1233,0.934203954
1234,0.934814753
1235,0.934771411
1236,0.936628226
1237,0.942249063
1238,0.940331902
1239,0.938881716
1240,0.935554224
1241,0.93244227
1242,0.93386105
1243,0.932251703
1244,0.929642947
1245,0.930463701
1246,0.929613456
1247,0.930750294
1248,0.934359369
1249,0.941372394
1250,0.93691371
1251,0.934869615
1252,0.935332463
1253,0.934644241
1254,0.934185216
1255,0.933915696
1256,0.934058865
1257,0.930026588
1258,0.936811731
1259,0.936166325
1260,0.933707863
1261,0.934009311
1262,0.930804647
1263,0.935984566
1264,0.935374489
1265,0.929106396
1266,0.931555565
1267,0.932060214
1268,0.930528621
1269,0.92893324
1270,0.928710745
1271,0.931798365
1272,0.92946371
1273,0.934968429
1274,0.934769109
1275,0.935695527
1276,0.934578562
1277,0.931625454
1278,0.931956402
1279,0.931846768
1280,0.926406395
1281,0.932519105
1282,0.934172838
1283,0.927299825
1284,0.937322603
1285,0.931921696
1286,0.93088133
1287,0.929737704
1288,0.932835396
1289,0.928486386
1290,0.931751822
1291,0.93154472
1292,0.924092163
1293,0.931836279
1294,0.929910806
1295,0.92955735
1296,0.923206615
1297,0.930721647
1298,0.92489196
1299,0.933172256
1300,0.926681133
1301,0.928469547
1302,0.93019308
1303,0.927354528
1304,0.926517992
1305,0.924748973
1306,0.928359844
1307,0.923403065
1308,0.924627712
1309,0.925791937
1310,0.923335367
1311,0.922871024
1312,0.929485524
1313,0.930857306
1314,0.932332144
1315,0.928989194
1316,0.932125034
1317,0.925982343
1318,0.925077304
1319,0.922823814
1320,0.926156796
1321,0.925142493
1322,0.926817376
1323,0.926017113
1324,0.932242893
1325,0.926952077
1326,0.931477263
1327,0.92527063
1328,0.927726218
1329,0.93216741
1330,0.927887269
1331,0.929806101
1332,0.933236421
1333,0.927055327
1334,0.924651592
1335,0.923381377
1336,0.925771857
1337,0.926181674
1338,0.928742879
1339,0.930597501
1340,0.920967921
1341,0.927096685
1342,0.923214353
1343,0.928559319
1344,0.922367438
1345,0.927787308
1346,0.92997753
1347,0.925756184
1348,0.926568124
1349,0.924638914
1350,0.928803633
1351,0.926016851
1352,0.926613655
1353,0.931265866
1354,0.922701024
1355,0.92914003
1356,0.926098211
1357,0.92595059
1358,0.920139757
1359,0.924740206
1360,0.921305375
1361,0.921007423
1362,0.945440228
1363,0.929702392
1364,0.912038131
1365,0.93169082
1366,0.9265941
1367,0.919045343
1368,0.925475787
1369,0.921725234
1370,0.924985076
1371,0.924152789
1372,0.922885077
1373,0.917996068
1374,0.922575152
1375,0.923802427
1376,0.92076544
1377,0.927339417
1378,0.920171072
1379,0.916297957
1380,0.9315545
1381,0.919428718
1382,0.913479549
1383,0.931349139
1384,0.919902998
1385,0.926421126
1386,0.921300181
1387,0.908863005
1388,0.925667429
1389,0.919040936
1390,0.928159912
1391,0.912114267
1392,0.920527475
1393,0.919033184
1394,0.911453553
1395,0.925815452
1396,0.920693537
1397,0.917452435
1398,0.92050226
1399,0.915789249
1400,0.920020338
1401,0.918248806
1402,0.923059093
1403,0.918612588
1404,0.908035321
1405,0.922615262
1406,0.909273811
1407,0.92333425
1408,0.911512298
1409,0.923429162
1410,0.919794165
1411,0.919268618
1412,0.9187343
1413,0.909392497
1414,0.919644221
1415,0.917093201
1416,0.920120925
1417,0.921055045
1418,0.918109545
1419,0.920273787
1420,0.917071825
1421,0.924283902
1422,0.916399174
1423,0.920706668
1424,0.922708139
1425,0.920704321
1426,0.916700462
1427,0.920031103
1428,0.91524664
1429,0.91934157
1430,0.919359714
1431,0.918758543
1432,0.916438502
1433,0.910567151
1434,0.918120141
1435,0.915497402
1436,0.916095835
1437,0.916879518
1438,0.913672275
1439,0.915912137
1440,0.917465437
1441,0.915888471
1442,0.920746131
1443,0.919530568
1444,0.918122875
1445,0.92025985
1446,0.922528521
1447,0.915717047
1448,0.911352855
1449,0.914266419
1450,0.919226314
1451,0.915000713
1452,0.917056676
1453,0.917539301
1454,0.923019852
1455,0.915115211
1456,0.912521749
1457,0.915169216
1458,0.915749096
1459,0.914034242
1460,0.911566138
1461,0.915217943
1462,0.91477606
1463,0.912081491
1464,0.911850876
1465,0.918870325
1466,0.916538276
1467,0.916933976
1468,0.908521933
1469,0.915391317
1470,0.912030407
1471,0.913380872
1472,0.916533006
1473,0.913038635
1474,0.917959039
1475,0.91687998
1476,0.921092333
1477,0.917843654
1478,0.919079907
1479,0.914503096
1480,0.918058373
1481,0.91601123
1482,0.915643015
1483,0.911952482
1484,0.914405293
1485,0.916065809
1486,0.914809527
1487,0.909191986
1488,0.912966014
1489,0.917443765
1490,0.91419879
1491,0.912624846
1492,0.916713787
1493,0.917156879
1494,0.916791847
1495,0.909338323
1496,0.914027718
1497,0.909317523
1498,0.919527494
1499,0.909791977
1500,0.911860582
1501,0.908993635
1502,0.910938286
1503,0.914688296
1504,0.911481858
1505,0.9153895
1506,0.914953125
1507,0.910009163
1508,0.91412004
1509,0.910114724
1510,0.913873959
1511,0.909625399
1512,0.910145345
1513,0.912576961
1514,0.913427635
1515,0.912620463
1516,0.91184878
1517,0.911892644
1518,0.909933234
1519,0.909958512
1520,0.909362772
1521,0.916067119
1522,0.916307658
1523,0.916802418
1524,0.908346163
1525,0.911001223
1526,0.912380017
1527,0.9149884
1528,0.906773686
1529,0.911203743
1530,0.917904874
1531,0.910855929
1532,0.911863412
1533,0.904630194
1534,0.911027947
1535,0.910085663
1536,0.912392268
1537,0.912796891
1538,0.908485502
1539,0.912463115
1540,0.907356484
1541,0.91458396
1542,0.911887634
1543,0.913784595
1544,0.911029884
1545,0.911133372
1546,0.91434036
1547,0.912180446
1548,0.913210072
1549,0.906398274
1550,0.906274396
1551,0.906025857
1552,0.909980137
1553,0.912689225
1554,0.909232954
1555,0.909391828
1556,0.909437002
1557,0.906441483
1558,0.907075113
1559,0.912022016
1560,0.904662667
1561,0.904494205
1562,0.907801685
1563,0.906195685
1564,0.908881828
1565,0.909848751
1566,0.908250539
1567,0.909264973
1568,0.91229913
1569,0.909924381
1570,0.912624746
1571,0.906397501
1572,0.909692629
1573,0.90528989
1574,0.905662102
1575,0.912559742
1576,0.908178743
1577,0.911502364
1578,0.909183772
1579,0.908183405
1580,0.907246502
1581,0.90821582
1582,0.910292666
1583,0.906699994
1584,0.910496778
1585,0.911205845
1586,0.9050736
1587,0.909698849
1588,0.90914107
1589,0.910490629
1590,0.908616123
1591,0.908056083
1592,0.912022539
1593,0.90434868
1594,0.907041081
1595,0.905090886
1596,0.904563044
1597,0.909878363
1598,0.907418611
1599,0.909137395
1600,0.916112121
1601,0.909885259
1602,0.91132587
1603,0.911437903
1604,0.906623502
1605,0.905733662
