Wavelength (nm),Reflectance (%
200,.92
250,.87
300,.93
350,.90
400,.86
450,.90
500,.915
550,.92
600,.92
650,.915
700,.91
750,.90
800,.88
850,.87
900,.87
1000,.88
1100,.89
